date,observer,bug_ID,zoom,units,hw_mm
8/31/2020,KG,09D,4.5,100,2.22
8/31/2020,KG,82C,4,91,2.28
8/31/2020,KG,61E,4,92,2.30
8/31/2020,KG,66B,4.5,64,1.42
8/31/2020,KG,83E,4,93,2.33
9/1/2020,KG,45E,4,95,2.38
9/1/2020,KG,83E,4,93,2.33
9/1/2020,KG,82C,4,90,2.25
9/1/2020,KG,09D,4.5,100,2.22
9/1/2020,KG,78E,4.5,97,2.16
9/1/2020,KG,92C,4,91,2.28
9/1/2020,KG,90C,4,91,2.28
9/1/2020,KG,82E,4,92,2.30
9/1/2020,KG,66B,4.5,63,1.40
9/1/2020,KG,61E,4,93,2.33
9/2/2020,KG,09D,4.5,100,2.22
9/2/2020,KG,92C,4,91,2.28
9/2/2020,KG,82E,4,91,2.28
9/2/2020,KG,90C,4,89,2.23
9/2/2020,KG,78E,4.5,97,2.16
9/2/2020,KG,61E,4,92,2.30
9/2/2020,KG,82C,4,90,2.25
9/2/2020,KG,45E,4,95,2.38
9/2/2020,KG,66B,4.5,64,1.42
9/2/2020,KG,83E,4,93,2.33
9/3/2020,KG,78E,4.5,97,2.16
9/3/2020,KG,82E,4,92,2.30
9/3/2020,KG,92C,4,90,2.25
9/3/2020,KG,83E,4,93,2.33
9/3/2020,KG,66B,4.5,64,1.42
9/3/2020,KG,45E,4,94,2.35
9/3/2020,KG,61E,4,92,2.30
9/3/2020,KG,90C,4,90,2.25
9/3/2020,KG,82C,4,90,2.25
9/3/2020,KG,09D,4.5,100,2.22
8/24/2020,AB,78E,4.5,98,2.18
8/24/2020,AB,45E,4,96,2.40
8/24/2020,AB,90C,4,90,2.25
8/24/2020,AB,82C,4,92,2.30
8/24/2020,AB,61E,4,92,2.30
8/24/2020,AB,09D,4,91,2.28
8/24/2020,AB,83E,4,95,2.38
8/24/2020,AB,66B,4.5,65,1.44
8/24/2020,AB,82E,4,94,2.35
8/24/2020,AB,92C,4,94,2.35
8/25/2020,AB,66B,4.5,64,1.42
8/25/2020,AB,82C,4,94,2.35
8/25/2020,AB,45E,4,97,2.43
8/25/2020,AB,78E,4.5,99,2.20
8/25/2020,AB,82E,4,93,2.33
8/25/2020,AB,83E,4,92,2.30
8/25/2020,AB,09D,4,92,2.30
8/25/2020,AB,61E,4,95,2.38
8/25/2020,AB,90C,4,91,2.28
8/25/2020,AB,92C,4,95,2.38
8/26/2020,AB,90C,4.5,100,2.22
8/26/2020,AB,82C,4,90,2.25
8/26/2020,AB,83E,4,90,2.25
8/26/2020,AB,09D,4,91,2.28
8/26/2020,AB,61E,4,94,2.35
8/26/2020,AB,45E,4,96,2.40
8/26/2020,AB,92C,4,91,2.28
8/26/2020,AB,82E,4,92,2.30
8/26/2020,AB,78E,4.5,99,2.20
8/26/2020,AB,66B,4.5,69,1.53
8/27/2020,AB,78E,4.5,98,2.18
8/27/2020,AB,82C,4,92,2.30
8/27/2020,AB,09D,4,91,2.28
8/27/2020,AB,90C,4,92,2.30
8/27/2020,AB,61E,4,95,2.38
8/27/2020,AB,82E,4,92,2.30
8/27/2020,AB,66B,4.5,69,1.53
8/27/2020,AB,83E,4,97,2.43
8/27/2020,AB,82C,4,93,2.33
8/27/2020,AB,45E,4,91,2.28
8/28/2020,AB,83E,4,92,2.30
8/28/2020,AB,66B,4.5,64,1.42
8/28/2020,AB,78E,4.5,99,2.20
8/28/2020,AB,45E,4,96,2.40
8/28/2020,AB,61E,4,95,2.38
8/28/2020,AB,90C,4,92,2.30
8/28/2020,AB,09D,4,90,2.25
8/28/2020,AB,82C,4,92,2.30
8/28/2020,AB,82E,4,91,2.28
8/28/2020,AB,92C,4,92,2.30
8/29/2020,AB,45E,4,95,2.38
8/29/2020,AB,66B,4.5,64,1.42
8/29/2020,AB,83E,4,92,2.30
8/29/2020,AB,90C,4,92,2.30
8/29/2020,AB,92C,4,92,2.30
8/29/2020,AB,78E,4.5,98,2.18
8/29/2020,AB,82E,4,92,2.30
8/29/2020,AB,61E,4,93,2.33
8/29/2020,AB,82C,4,93,2.33
8/29/2020,AB,09D,4,91,2.28
8/31/2020,AB,66B,4.5,64,1.42
8/31/2020,AB,61E,4,93,2.33
8/31/2020,AB,82E,4,93,2.33
8/31/2020,AB,78E,4.5,99,2.20
8/31/2020,AB,90C,4,89,2.23
8/31/2020,AB,45E,4,97,2.43
8/31/2020,AB,09D,4,89,2.23
8/31/2020,AB,92C,4,93,2.33
8/31/2020,AB,83E,4,95,2.38
8/31/2020,AB,82C,4,91,2.28
9/1/2020,AB,61E,4,93,2.33
9/1/2020,AB,66B,4.5,64,1.42
9/1/2020,AB,82C,4,90,2.25
9/1/2020,AB,45E,4,95,2.38
9/1/2020,AB,92C,4,91,2.28
9/1/2020,AB,90C,4,93,2.33
9/1/2020,AB,09D,4,93,2.33
9/1/2020,AB,82E,4,92,2.30
9/1/2020,AB,78E,4.5,99,2.20
9/1/2020,AB,83E,4,94,2.35
9/2/2020,AB,78E,4.5,99,2.20
9/2/2020,AB,83E,4,92,2.30
9/2/2020,AB,61E,4,95,2.38
9/2/2020,AB,82C,4,93,2.33
9/2/2020,AB,90C,4,93,2.33
9/2/2020,AB,92C,4,93,2.33
9/2/2020,AB,09D,4,90,2.25
9/2/2020,AB,82E,4,95,2.38
9/2/2020,AB,66B,4.5,64,1.42
9/2/2020,AB,45E,4,97,2.43
9/3/2020,AB,61E,4,94,2.35
9/3/2020,AB,90C,4,93,2.33
9/3/2020,AB,09D,4,92,2.30
9/3/2020,AB,82C,4,93,2.33
9/3/2020,AB,45E,4,97,2.43
9/3/2020,AB,82E,4,93,2.33
9/3/2020,AB,66B,4.5,65,1.44
9/3/2020,AB,92C,4,93,2.33
9/3/2020,AB,78E,4.5,99,2.20
9/3/2020,AB,83E,4,95,2.38
